Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Guest Houses,SARASA PARK HOTEL,"NO:18,RUKMANI DEVI MAWATHA,NEGOMBO",12,B,Gampaha,Gampaha,Gampaha Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,PJ HOTEL,"AVARNKAL JUNCTION,ACTCHUWELY SOUTH,ACTCHWELY,JAFFNA",19,A,Jaffna,Jaffna,Jaffna Divisional Secretariat,,,Comfort
Guest Houses,AMBA AYURVEDA BOUTIQUE HOTEL,"704, WALAGEDARA, GALLE ROAD,BALAPITIYA",6,A,Galle,balapitiya,Balapitiya Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,MILTONS BEACH RESORT,"GANAHENA,UNAWATUNA",28,B,Galle,Galle,Habaraduwa Divisional Secretariat,80.253973,6.005965,Budget
Guest Houses,PEARL OCEANIC RESORT,"10/1,WARD NO 03,SAMPALTHIVU,TRINCOMALEE",8,A,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.222994,8.636459,Budget
Guest Houses,LOURDES INN HOTEL,"20/4,3RD LANE,MAGASTHOTHA,NUWARA ELIYA.",18,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.787634,6.946254,Luxury
Guest Houses,PUETZ BEACH RESORT,"WELANKANNI MAWATHA,SINDATHRIYA,WAIKKALA",12,A,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,NULL,NULL,Luxruy
Guest Houses,HEAVEN SEVEN,"NO 24,HADON HILL ROAD,NUWARA ELIYA",11,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.765792,6.962279,Comfort
Guest Houses,POLHENA REEF GARDEN HOTEL,"NO:30,BEACH ROAD,POLHENA,MATARA",18,B,Matara,Matara,Matara Divisional Secretariat,80.527084,5.937056,Comfort
Guest Houses,SANCHARINA HOTEL,"156/41,WAJIRA ROAD,NAHENA,HUNUPITIYA,WATTALA",15,A,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat,79.915357,6.984756,Budget
