Name,Address,District,AGA Division,PS/MC/UC,,,,
J.Y. TRAVELS & TOURS,"NO.261, DIULAGAHAWATTA, TUDELLA, JAELA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RICHARD TRAVELS AND TOURS(PVT)LTD,"NO 17 A GALLE ROAD, ANGAGODA BENTHOTA",Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,,,,
SENSES HOLIDAY (PVT)LTD,"14M,MOOR ROAD, COLOMBO 06",Colombo,Colombo,Colombo Divisional Secretariat,,,,
DANA TOURS & TRAVELS (PVT)LTD,"NO 74, SEA BEACH ROAD,COLOMBO 11",Colombo,Colombo,Colombo Divisional Secretariat,,,,
NORAMIX TRAVELS (PVT) LTD,"NO 419 A , 1/1, GALLE ROAD, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AL ARAFATH TRAVELS & TOURS (PVT) LTD,"NO. 190, GRANDPASS, COLOMBO 14",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TROPICAL ASIA TOURS (PVT) LTD,"NO.23A, GOWER STREET, COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
CONCORD EXOTIC VOYAGES LANKA (PVT)LTD,"74,A1/1,PARK STREET, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ACE HOLIDAY LANKA (PVT) LTD,"NO.2, LAKXMI GARDENS, BORELLE, COLOMBO 08",Colombo,Colombo,Colombo Divisional Secretariat,,,,
EXPLORE VACATIONS & TRAVELS (PVT) LTD,"NO. 371/5, NEGOMBO ROAD, MUKALANGAMUWA, SEEDUWA",Puttalam,Negombo,Negombo Divisional Secretariat,,,,
TREE OF LIFE TRAVELS (PVT) LTD,"NO.01, DIAS PLACE , PEPILIYANA ROAD, NUGEGODA, SRI LANKA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LOKUGE TOURS & TRAVELS (PVT)LTD,"10, PARSONS ROAD, COLOMBO 02",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HOLIDAY ISLAND,"NO.608-1/25B, ASEON BUILDING, DR.DANISTER DE SILVA MAWATHA, COLOMBO 9",Colombo,Colombo,Colombo Divisional Secretariat,,,,
J.J. TOUR SERVICES (PVT) LIMITED,"NO.199, GALLE ROAD, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
M & S TRAVEL SOLUTIONS (PVT) LTD,"NO.233, VAUXHALL STREET, COLOMBO 2",Colombo,Colombo,Colombo Divisional Secretariat,,,,
TROPICAL TRAVEL HOLIDAYS (PVT) LTD,"NO.18, CASTLE AVENUE, COLOMBO 8",Colombo,Colombo,Colombo Divisional Secretariat,,,,
KANOTA TOURS,"NO.7,/20, PANANWALA, DELGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
